recoP,trueP
3.899609,4.539084
1.930258,2.469334
0.541195,0.570370
2.464386,2.224610
4.894382,5.095372
0.953705,1.012910
0.876995,0.842632
0.623982,0.638205
11.656444,2.538500
2.121851,2.135991
3.168646,3.141395
3.322311,4.181082
1.848752,1.617087
1.595168,1.348258
5.025072,5.533972
1.647909,1.929259
0.789368,0.738941
1.305631,1.141555
2.150591,2.166018
2.396786,2.249556
0.485090,0.435000
0.493563,0.484161
1.377714,1.409180
4.462418,4.612308
8.463531,7.343608
5.347794,4.775293
45.071473,2.846665
1.061756,1.043674
2.876743,2.117434
4.355374,5.049056
0.910924,0.964961
3.402183,3.675052
1.474328,1.281723
3.542441,4.591878
0.929164,1.290461
11.716210,5.109895
3.741801,4.024296
0.848749,0.782278
2.808950,4.234614
3.492562,4.951175
1.347429,1.322983
3.510851,3.910382
4.088107,3.516587
5.742820,7.993971
2.246635,1.802682
0.351120,0.293791
3.276039,3.098196
7.936121,8.434908
0.752842,0.848275
3.306002,3.244869
3.059408,3.501873
3.381102,3.450256
1.953577,2.020884
0.506201,0.728444
2.369652,2.284429
2.157774,3.029068
1.130346,1.148529
1.122490,1.165374
1.323870,1.419465
3.113364,2.621898
7.153308,4.939930
0.717831,0.684452
0.424408,0.323803
3.332304,3.006564
11.433362,7.849878
6.220607,5.386776
0.895983,0.857358
0.592384,0.579752
0.632895,0.633244
2.160200,1.831059
1.067562,0.905025
1.652607,1.804052
1.016795,0.990469
1.540649,1.745687
1.495549,1.743975
9.964417,13.101959
1.774499,2.103062
0.972657,1.571564
3.777098,2.811750
2.140062,1.648259
1.565165,1.528867
1.133329,0.934281
1.657630,1.494535
0.377009,0.375454
2.122711,2.179785
3.095386,3.370934
2.378644,2.924351
1.861506,1.879356
0.862724,0.959846
0.870818,0.902397
2.996630,3.284526
4.119515,3.493465
0.961053,0.995689
3.392214,3.293448
2.537713,2.446032
2.550477,2.314075
2.914443,2.956783
7.480366,9.156499
2.246902,2.332694
4.337802,3.460759
1.727088,2.642754
5.772919,4.158952
5.751231,3.321688
0.849835,0.891623
5.332975,6.226074
1.310126,1.181140
2.145728,2.665212
2.212908,2.222860
3.181529,3.387854
0.618506,0.587135
1.533332,1.544998
